StudentID,Qualification,Subject,PredictedGrade,ActualGrade
S00034,GCSE,Art,B,B
S00034,GCSE,French,B,B
S00034,GCSE,Chemistry,C,B
S00034,GCSE,Geography,C,E
S00034,GCSE,Biology,C,C
S00034,GCSE,History,B,B
S00035,GCSE,Music,B,B
S00035,GCSE,Geography,A*,A*
S00035,GCSE,Physics,A,D
S00035,GCSE,History,C,C
S00035,GCSE,French,A,A
S00035,GCSE,Computer Science,C,C
S00035,GCSE,Mathematics,B,A
S00035,GCSE,Biology,C,C
S00036,GCSE,English Language,C,C
S00036,GCSE,Chemistry,A*,A*
S00036,GCSE,English Literature,E,E
S00036,GCSE,Geography,A,A
S00036,GCSE,French,A*,A*
S00036,GCSE,Biology,C,E
S00037,GCSE,Music,A,A
S00037,GCSE,French,D,D
S00037,GCSE,English Language,D,D
S00037,GCSE,History,B,A
S00037,GCSE,Art,A,A
S00037,GCSE,Physics,C,D
S00037,GCSE,Biology,A,A
S00038,A-Level,Mathematics,C,A
S00038,A-Level,Economics,B,B
S00038,A-Level,Computer Science,A,A
S00038,A-Level,Biology,A,A
S00039,GCSE,French,A,A
S00039,GCSE,Chemistry,C,D
S00039,GCSE,Music,C,C
S00039,GCSE,Geography,A*,A*
S00039,GCSE,Biology,C,A
S00039,GCSE,Computer Science,B,B
S00039,GCSE,English Literature,B,B
S00039,GCSE,Art,A,A
S00039,GCSE,History,A*,A*
S00040,A-Level,Geography,A*,A*
S00040,A-Level,History,C,C
S00040,A-Level,Mathematics,A,B
S00040,A-Level,Psychology,A,C
S00041,GCSE,Physics,A,A
S00041,GCSE,English Language,B,B
S00041,GCSE,Music,D,D
S00041,GCSE,Art,C,A*
S00041,GCSE,Chemistry,C,C
S00041,GCSE,English Literature,B,B
S00042,A-Level,Psychology,B,B
S00042,A-Level,Economics,B,E
S00042,A-Level,Computer Science,B,B
S00043,GCSE,Computer Science,A*,B
S00043,GCSE,Chemistry,B,E
S00043,GCSE,Geography,B,B
S00043,GCSE,English Literature,C,C
S00043,GCSE,History,A,A
S00043,GCSE,Physics,B,A
S00043,GCSE,Mathematics,B,B
S00043,GCSE,French,B,B
S00044,GCSE,Music,B,B
S00044,GCSE,French,D,D
S00044,GCSE,Art,C,C
S00044,GCSE,Mathematics,B,C
S00044,GCSE,Computer Science,B,B
S00044,GCSE,History,A*,E
S00044,GCSE,Physics,C,C
S00044,GCSE,English Language,A*,A*
S00045,A-Level,Computer Science,B,B
S00045,A-Level,Chemistry,A,E
S00045,A-Level,Economics,B,B
S00045,A-Level,Mathematics,A,A*
S00046,GCSE,Mathematics,C,E
S00046,GCSE,Physics,A,A
S00046,GCSE,English Language,B,B
S00046,GCSE,Computer Science,C,C
S00046,GCSE,English Literature,C,C
S00046,GCSE,Chemistry,B,E
S00046,GCSE,Music,A,E
S00047,A-Level,Psychology,D,D
S00047,A-Level,Computer Science,B,B
S00047,A-Level,Physics,A*,A*
S00048,GCSE,Computer Science,C,A
S00048,GCSE,English Language,B,B
S00048,GCSE,Chemistry,A*,C
S00048,GCSE,Mathematics,D,B
S00048,GCSE,Geography,C,C
S00048,GCSE,Biology,B,B
S00048,GCSE,Physics,A,A
S00049,GCSE,Biology,A*,A*
S00049,GCSE,History,D,D
S00049,GCSE,Geography,B,A*
S00049,GCSE,English Language,E,E
S00049,GCSE,Mathematics,A,A
S00049,GCSE,French,B,E
S00050,GCSE,Biology,C,E
S00050,GCSE,Geography,B,B
S00050,GCSE,Chemistry,A,A
S00050,GCSE,Physics,A,A
S00050,GCSE,English Literature,A,A
S00050,GCSE,Music,A,A
S00050,GCSE,Art,D,D
S00050,GCSE,History,A,A
S00050,GCSE,English Language,D,D
S00051,GCSE,History,A,C
S00051,GCSE,French,B,A
S00051,GCSE,English Literature,A,A
S00051,GCSE,Art,B,B
S00051,GCSE,English Language,B,B
S00051,GCSE,Geography,C,C
S00051,GCSE,Biology,D,A*
S00051,GCSE,Music,C,B
S00051,GCSE,Computer Science,C,C
S00052,GCSE,French,A,E
S00052,GCSE,Biology,D,D
S00052,GCSE,Computer Science,C,C
S00052,GCSE,Art,A*,A*
S00052,GCSE,History,A,C
S00052,GCSE,Mathematics,C,C
S00052,GCSE,Physics,A,A
S00053,GCSE,Geography,A,D
S00053,GCSE,English Language,D,D
S00053,GCSE,English Literature,A,A
S00053,GCSE,Art,C,C
S00053,GCSE,Mathematics,A,A
S00053,GCSE,Biology,B,C
S00053,GCSE,French,B,B
S00053,GCSE,History,B,A*
S00054,GCSE,Art,C,E
S00054,GCSE,Computer Science,B,B
S00054,GCSE,English Language,B,A*
S00054,GCSE,History,B,C
S00054,GCSE,French,A*,A*
S00054,GCSE,Biology,C,D
S00055,GCSE,Art,D,D
S00055,GCSE,French,B,B
S00055,GCSE,English Language,C,C
S00055,GCSE,Mathematics,B,D
S00055,GCSE,Computer Science,B,B
S00055,GCSE,Geography,D,D
S00056,GCSE,Computer Science,C,A
S00056,GCSE,History,D,D
S00056,GCSE,Physics,E,E
S00056,GCSE,Art,B,A*
S00056,GCSE,Chemistry,C,B
S00056,GCSE,Geography,B,B
S00056,GCSE,English Literature,B,A
S00056,GCSE,Mathematics,A,A
S00057,GCSE,Physics,A*,A*
S00057,GCSE,Chemistry,C,A*
S00057,GCSE,Computer Science,C,E
S00057,GCSE,English Literature,D,D
S00057,GCSE,Mathematics,E,E
S00057,GCSE,Biology,A,A
S00057,GCSE,Art,B,B
S00057,GCSE,Geography,A,A
S00058,GCSE,Mathematics,A*,A*
S00058,GCSE,English Literature,A,A
S00058,GCSE,Chemistry,B,B
S00058,GCSE,Computer Science,B,A
S00058,GCSE,French,B,B
S00058,GCSE,Geography,C,D
S00058,GCSE,English Language,B,B
S00058,GCSE,History,A*,A*
S00058,GCSE,Physics,A,E
S00059,GCSE,Art,C,C
S00059,GCSE,French,A,B
S00059,GCSE,Computer Science,B,D
S00059,GCSE,Music,B,B
S00059,GCSE,Geography,A*,C
S00059,GCSE,Chemistry,B,B
S00059,GCSE,Physics,B,B
S00059,GCSE,History,B,B
S00059,GCSE,Biology,E,E
S00060,GCSE,Chemistry,B,A*
S00060,GCSE,History,A,A
S00060,GCSE,Mathematics,A,E
S00060,GCSE,Physics,A*,B
S00060,GCSE,Computer Science,E,A
S00060,GCSE,English Literature,A*,E
S00061,GCSE,English Language,C,C
S00061,GCSE,Biology,C,B
S00061,GCSE,History,C,A*
S00061,GCSE,Music,C,C
S00061,GCSE,Mathematics,B,A*
S00061,GCSE,Chemistry,E,E
S00061,GCSE,French,B,C
S00061,GCSE,Physics,B,D
S00061,GCSE,Art,C,E
S00062,A-Level,Psychology,B,B
S00062,A-Level,Physics,A,A
S00062,A-Level,Geography,B,B
S00063,GCSE,Mathematics,A*,A*
S00063,GCSE,French,A,A
S00063,GCSE,Computer Science,A,A
S00063,GCSE,Physics,A,A
S00063,GCSE,Art,A,A
S00063,GCSE,History,E,A*
S00064,GCSE,Biology,D,D
S00064,GCSE,French,D,D
S00064,GCSE,English Literature,A*,A*
S00064,GCSE,Chemistry,B,B
S00064,GCSE,English Language,B,E
S00064,GCSE,Mathematics,A,A
S00064,GCSE,Art,A*,A*
S00065,GCSE,Biology,B,A*
S00065,GCSE,Physics,B,B
S00065,GCSE,Music,D,A
S00065,GCSE,Art,C,C
S00065,GCSE,Geography,A*,B
S00065,GCSE,History,B,B
S00065,GCSE,Computer Science,C,C
S00065,GCSE,Chemistry,B,B
S00066,GCSE,Computer Science,A*,A
S00066,GCSE,English Literature,B,B
S00066,GCSE,Music,A,A
S00066,GCSE,Geography,A*,A*
S00066,GCSE,Art,B,B
S00066,GCSE,English Language,A,A
S00066,GCSE,History,B,C
S00067,GCSE,Computer Science,E,E
S00067,GCSE,Music,E,E
S00067,GCSE,Physics,A,B
S00067,GCSE,Art,B,B
S00067,GCSE,English Language,C,C
S00067,GCSE,Geography,A,A
S00067,GCSE,Biology,A,A
S00067,GCSE,Mathematics,B,A
S00068,GCSE,Geography,D,D
S00068,GCSE,Art,A,A
S00068,GCSE,Computer Science,C,C
S00068,GCSE,French,B,B
S00068,GCSE,English Literature,C,C
S00068,GCSE,Chemistry,A,A
S00068,GCSE,Music,A*,A
S00068,GCSE,English Language,C,C
S00068,GCSE,Biology,C,E
S00069,GCSE,English Literature,C,C
S00069,GCSE,Geography,B,A*
S00069,GCSE,English Language,B,B
S00069,GCSE,Computer Science,A*,A*
S00069,GCSE,Physics,C,A*
S00069,GCSE,Music,E,A
S00069,GCSE,History,B,B
S00069,GCSE,Chemistry,D,C
S00070,A-Level,Physics,B,E
S00070,A-Level,History,A,A
S00070,A-Level,Computer Science,A*,A*
S00071,GCSE,English Language,C,A
S00071,GCSE,French,B,B
S00071,GCSE,Mathematics,A*,A*
S00071,GCSE,Computer Science,B,A
S00071,GCSE,Geography,B,B
S00071,GCSE,Chemistry,D,D
S00071,GCSE,Biology,B,B
S00072,A-Level,History,B,B
S00072,A-Level,Psychology,B,D
S00072,A-Level,Biology,A*,D
S00073,GCSE,English Literature,B,B
S00073,GCSE,Art,B,B
S00073,GCSE,Computer Science,C,D
S00073,GCSE,Chemistry,D,D
S00073,GCSE,Biology,C,B
S00073,GCSE,Music,A,A
S00073,GCSE,Physics,C,D
S00074,GCSE,English Language,A,A
S00074,GCSE,Computer Science,D,D
S00074,GCSE,History,A,C
S00074,GCSE,English Literature,B,B
S00074,GCSE,Geography,B,D
S00074,GCSE,Biology,A,A*
S00075,GCSE,History,B,B
S00075,GCSE,Mathematics,B,D
S00075,GCSE,Geography,C,C
S00075,GCSE,Chemistry,A,A
S00075,GCSE,French,E,A
S00075,GCSE,Biology,C,C
S00076,GCSE,Chemistry,C,C
S00076,GCSE,History,B,B
S00076,GCSE,Mathematics,C,C
S00076,GCSE,Music,B,B
S00076,GCSE,Geography,B,B
S00076,GCSE,Physics,B,B
S00076,GCSE,Biology,D,D
S00076,GCSE,English Literature,D,D
S00077,A-Level,Biology,D,A*
S00077,A-Level,Chemistry,C,A*
S00077,A-Level,Economics,B,B
S00078,GCSE,History,C,A
S00078,GCSE,French,A,B
S00078,GCSE,English Literature,B,B
S00078,GCSE,Mathematics,A*,A*
S00078,GCSE,Music,B,A
S00078,GCSE,Physics,A,A
S00078,GCSE,Art,C,C
S00078,GCSE,Chemistry,B,B
S00079,GCSE,Art,B,B
S00079,GCSE,Computer Science,C,C
S00079,GCSE,English Literature,C,C
S00079,GCSE,History,A*,A
S00079,GCSE,French,B,B
S00079,GCSE,Music,A,A
S00079,GCSE,Geography,A,B
S00079,GCSE,Chemistry,E,E
S00079,GCSE,Physics,A*,A*
S00080,A-Level,Economics,A,A*
S00080,A-Level,Chemistry,D,D
S00080,A-Level,Further Mathematics,B,D
S00080,A-Level,Geography,B,E
S00081,GCSE,Physics,A,A
S00081,GCSE,Computer Science,C,C
S00081,GCSE,Biology,A*,A*
S00081,GCSE,Art,D,D
S00081,GCSE,English Language,A*,B
S00081,GCSE,Geography,B,E
S00081,GCSE,History,C,C
S00081,GCSE,French,B,B
S00081,GCSE,Mathematics,C,C
S00082,GCSE,History,A,A
S00082,GCSE,English Literature,A*,A*
S00082,GCSE,Mathematics,C,C
S00082,GCSE,Physics,A*,A*
S00082,GCSE,Music,B,B
S00082,GCSE,English Language,D,C
S00083,GCSE,English Language,B,A
S00083,GCSE,Biology,A,A*
S00083,GCSE,Art,A*,A*
S00083,GCSE,Physics,E,E
S00083,GCSE,French,B,B
S00083,GCSE,Mathematics,B,B
S00084,GCSE,Geography,A,A
S00084,GCSE,Computer Science,B,C
S00084,GCSE,Mathematics,C,C
S00084,GCSE,Chemistry,E,E
S00084,GCSE,English Literature,B,A
S00084,GCSE,Physics,B,B
S00084,GCSE,History,A,A*
S00084,GCSE,Biology,D,D
S00084,GCSE,Music,D,D
S00085,GCSE,Computer Science,D,B
S00085,GCSE,Physics,A*,A*
S00085,GCSE,English Literature,E,D
S00085,GCSE,Mathematics,B,B
S00085,GCSE,Biology,B,E
S00085,GCSE,History,C,C
S00085,GCSE,Art,A*,A*
S00085,GCSE,Chemistry,B,A*
S00086,GCSE,English Literature,B,D
S00086,GCSE,Computer Science,B,B
S00086,GCSE,French,B,B
S00086,GCSE,Biology,D,D
S00086,GCSE,Music,D,D
S00086,GCSE,Mathematics,C,C
S00086,GCSE,Chemistry,B,B
S00087,A-Level,History,C,C
S00087,A-Level,Economics,D,D
S00087,A-Level,Biology,D,D
S00087,A-Level,Further Mathematics,A,A
S00088,A-Level,Chemistry,A*,C
S00088,A-Level,Biology,B,B
S00088,A-Level,Geography,A,A
S00088,A-Level,History,A*,A*
S00089,GCSE,Geography,D,D
S00089,GCSE,Physics,B,C
S00089,GCSE,Art,A,A
S00089,GCSE,History,C,A
S00089,GCSE,Computer Science,B,B
S00089,GCSE,Chemistry,B,B
S00089,GCSE,Biology,C,C
S00090,GCSE,Physics,D,D
S00090,GCSE,Geography,E,E
S00090,GCSE,Chemistry,B,B
S00090,GCSE,English Language,C,C
S00090,GCSE,Art,D,D
S00090,GCSE,Computer Science,A*,C
S00091,GCSE,English Language,A*,A*
S00091,GCSE,French,B,B
S00091,GCSE,Mathematics,C,B
S00091,GCSE,Chemistry,D,D
S00091,GCSE,Physics,C,E
S00091,GCSE,English Literature,C,C
S00092,A-Level,Biology,A*,A*
S00092,A-Level,Chemistry,A,D
S00092,A-Level,Psychology,A*,A*
S00093,GCSE,French,A*,A*
S00093,GCSE,Music,B,D
S00093,GCSE,Chemistry,B,A
S00093,GCSE,Computer Science,B,B
S00093,GCSE,Geography,A,A
S00093,GCSE,English Literature,A,B
S00093,GCSE,Mathematics,A,A
S00094,A-Level,Physics,D,D
S00094,A-Level,Further Mathematics,A,D
S00094,A-Level,Chemistry,B,A*
S00094,A-Level,History,B,D
S00095,A-Level,History,A,A
S00095,A-Level,Further Mathematics,A,A
S00095,A-Level,Physics,B,D
S00096,GCSE,Computer Science,B,B
S00096,GCSE,Mathematics,B,C
S00096,GCSE,French,D,A*
S00096,GCSE,Music,C,C
S00096,GCSE,Physics,B,B
S00096,GCSE,English Language,B,B
S00096,GCSE,History,A,A
S00097,GCSE,Biology,D,A*
S00097,GCSE,English Language,A,A
S00097,GCSE,French,D,C
S00097,GCSE,Geography,B,B
S00097,GCSE,English Literature,D,D
S00097,GCSE,Mathematics,D,E
S00097,GCSE,Physics,B,B
S00098,GCSE,Geography,A,A*
S00098,GCSE,Chemistry,A,E
S00098,GCSE,History,D,D
S00098,GCSE,Physics,B,B
S00098,GCSE,Art,A*,A*
S00098,GCSE,French,C,A
S00098,GCSE,Music,B,B
S00099,A-Level,Geography,C,C
S00099,A-Level,Physics,B,B
S00099,A-Level,Computer Science,A,A
S00100,GCSE,Physics,D,D
S00100,GCSE,History,A*,A*
S00100,GCSE,Geography,B,B
S00100,GCSE,Art,C,A*
S00100,GCSE,English Language,B,B
S00100,GCSE,Chemistry,D,D
S00100,GCSE,Biology,C,A*
S00100,GCSE,Music,A*,A*
S00100,GCSE,Mathematics,B,A
S00101,GCSE,Mathematics,C,C
S00101,GCSE,History,B,B
S00101,GCSE,Biology,B,B
S00101,GCSE,Chemistry,A*,A*
S00101,GCSE,Geography,C,C
S00101,GCSE,English Language,D,D
S00101,GCSE,French,B,E
S00102,A-Level,Physics,B,E
S00102,A-Level,Chemistry,B,B
S00102,A-Level,History,D,D
S00102,A-Level,Psychology,C,C
S00103,GCSE,English Language,B,A*
S00103,GCSE,History,A*,A*
S00103,GCSE,Mathematics,B,A
S00103,GCSE,English Literature,B,B
S00103,GCSE,French,B,B
S00103,GCSE,Art,B,B
S00103,GCSE,Biology,A*,C
S00104,A-Level,History,A*,A*
S00104,A-Level,Psychology,E,E
S00104,A-Level,Geography,E,E
S00105,GCSE,Biology,B,D
S00105,GCSE,Chemistry,A*,A*
S00105,GCSE,English Literature,A,C
S00105,GCSE,Art,B,B
S00105,GCSE,History,B,B
S00105,GCSE,French,B,B
S00105,GCSE,Geography,B,B
S00106,GCSE,Biology,B,E
S00106,GCSE,Geography,B,B
S00106,GCSE,History,C,C
S00106,GCSE,Computer Science,C,C
S00106,GCSE,Chemistry,C,B
S00106,GCSE,Physics,B,A*
S00106,GCSE,Art,C,C
S00106,GCSE,English Literature,B,B
S00107,A-Level,Further Mathematics,B,B
S00107,A-Level,Mathematics,E,E
S00107,A-Level,Economics,C,C
S00107,A-Level,Geography,D,D
S00108,GCSE,History,A,A
S00108,GCSE,Computer Science,E,E
S00108,GCSE,Art,A,A*
S00108,GCSE,French,C,C
S00108,GCSE,English Literature,A,A
S00108,GCSE,Geography,A*,B
S00109,GCSE,Geography,A,A
S00109,GCSE,English Literature,D,D
S00109,GCSE,French,C,C
S00109,GCSE,Biology,B,A*
S00109,GCSE,Computer Science,A*,C
S00109,GCSE,Mathematics,E,A
S00110,GCSE,Physics,A,A
S00110,GCSE,Computer Science,A*,E
S00110,GCSE,English Language,A,A
S00110,GCSE,Mathematics,D,B
S00110,GCSE,Music,B,B
S00110,GCSE,History,E,E
S00110,GCSE,Chemistry,C,D
S00111,A-Level,History,B,D
S00111,A-Level,Physics,A,A
S00111,A-Level,Chemistry,C,C
S00112,GCSE,French,B,B
S00112,GCSE,Computer Science,A*,A*
S00112,GCSE,Physics,B,B
S00112,GCSE,Biology,B,B
S00112,GCSE,Music,D,D
S00112,GCSE,English Language,A,A
S00112,GCSE,Art,A,A
S00112,GCSE,History,B,A
S00113,GCSE,Mathematics,D,A
S00113,GCSE,Biology,C,C
S00113,GCSE,Chemistry,D,D
S00113,GCSE,Geography,C,B
S00113,GCSE,French,C,A*
S00113,GCSE,English Literature,E,B
S00113,GCSE,Computer Science,B,C
S00114,A-Level,Psychology,C,B
S00114,A-Level,Further Mathematics,C,C
S00114,A-Level,Geography,B,B
S00114,A-Level,Economics,C,C
S00115,GCSE,Geography,D,E
S00115,GCSE,Music,B,D
S00115,GCSE,History,C,B
S00115,GCSE,French,C,C
S00115,GCSE,English Language,C,C
S00115,GCSE,Biology,A,A
S00115,GCSE,Physics,B,B
S00116,A-Level,Physics,B,E
S00116,A-Level,History,D,D
S00116,A-Level,Biology,A,A*
S00116,A-Level,Computer Science,A*,A*
S00117,A-Level,Biology,C,C
S00117,A-Level,Mathematics,D,D
S00117,A-Level,History,A*,A*
S00117,A-Level,Further Mathematics,C,C
S00118,GCSE,Geography,B,A
S00118,GCSE,History,B,B
S00118,GCSE,Computer Science,B,B
S00118,GCSE,English Language,B,B
S00118,GCSE,Music,C,C
S00118,GCSE,English Literature,C,A
S00119,A-Level,Physics,C,E
S00119,A-Level,Further Mathematics,B,B
S00119,A-Level,Biology,C,C
S00120,GCSE,Mathematics,A*,E
S00120,GCSE,History,B,B
S00120,GCSE,Physics,B,B
S00120,GCSE,English Language,D,E
S00120,GCSE,Chemistry,A*,A*
S00120,GCSE,Computer Science,C,A
S00120,GCSE,Geography,A*,C
S00120,GCSE,Music,C,C
S00121,GCSE,History,B,D
S00121,GCSE,Biology,C,A
S00121,GCSE,Chemistry,B,B
S00121,GCSE,Art,A,A
S00121,GCSE,English Literature,B,B
S00121,GCSE,Physics,C,C
S00121,GCSE,French,A,A
S00121,GCSE,Geography,A,A
S00122,GCSE,Art,C,C
S00122,GCSE,Biology,B,B
S00122,GCSE,Chemistry,A*,A*
S00122,GCSE,French,B,B
S00122,GCSE,Computer Science,A,E
S00122,GCSE,Music,C,C
S00122,GCSE,Geography,B,C
S00122,GCSE,English Language,B,B
S00123,GCSE,French,A*,A*
S00123,GCSE,Physics,E,C
S00123,GCSE,Music,B,A
S00123,GCSE,History,C,B
S00123,GCSE,Computer Science,B,A
S00123,GCSE,Mathematics,B,D
S00123,GCSE,Biology,E,E
S00124,GCSE,Physics,C,C
S00124,GCSE,Chemistry,C,C
S00124,GCSE,Biology,A,A*
S00124,GCSE,Mathematics,D,A
S00124,GCSE,Music,C,C
S00124,GCSE,French,B,A
S00125,GCSE,Computer Science,A,C
S00125,GCSE,Chemistry,B,B
S00125,GCSE,English Language,B,B
S00125,GCSE,Physics,D,D
S00125,GCSE,Art,A,E
S00125,GCSE,English Literature,B,B
S00125,GCSE,Music,C,B
S00126,GCSE,Physics,A,B
S00126,GCSE,English Literature,A,E
S00126,GCSE,Geography,A,A
S00126,GCSE,Biology,A,C
S00126,GCSE,Art,C,C
S00126,GCSE,Chemistry,C,C
S00126,GCSE,Music,C,C
S00126,GCSE,History,A*,B
S00127,GCSE,Computer Science,D,D
S00127,GCSE,Geography,B,D
S00127,GCSE,Music,E,E
S00127,GCSE,Physics,A*,A
S00127,GCSE,History,C,C
S00127,GCSE,Mathematics,E,C
S00128,GCSE,English Language,B,B
